area_codigo,componente_curricular,area_conhecimento
6,Língua /Literatura Portuguesa ,Linguagens
7,Língua /Literatura estrangeira - Inglês ,Linguagens
8,Língua /Literatura estrangeira - Espanhol,Linguagens
30,Língua/Literatura estrangeira - Francês,Linguagens
9,Língua /Literatura estrangeira - outra,Linguagens
27,Língua indígena,Linguagens
23,Libras,Linguagens
31,Língua Portuguesa como Segunda Língua,Linguagens
10,Arte,Linguagens
11,Educação Física,Linguagens
3,Matemática,Matemática
1,Química,Ciências da Natureza
2,Física,Ciências da Natureza
4,Biologia,Ciências da Natureza
5,Ciências,Ciências da Natureza
12,História,Ciências Humanas e Sociais
13,Geografia,Ciências Humanas e Sociais
14,Filosofia,Ciências Humanas e Sociais
28,Estudos Sociais,Ciências Humanas e Sociais
29,Sociologia,Ciências Humanas e Sociais
16,Informática/Computação,Outras áreas
17,Profissionalizantes ,Outras áreas
25,Pedagógicas ,Outras áreas
26,Ensino religioso,Outras áreas
99,Outras,Outras áreas
